,job_title,company_name,location,salary,description
11,None,None,None,None,None
12,Product Management,Faclon,Mumbai,"₹ 8,000-10,000 /month","Selected intern's day-to-day responsibilities include:  1. Work on data gathering and data packet testing and checking if data is being sent from the client's end and is in the format that is usable or not (accordingly, coordinate with the client for data to be sent in the usable format) 2. Handle client communication including understanding client requirements, documenting the same, and passing it on to concerned teams and also vice versa 3. Handle product execution including handover the prototype after brainstorming and documentation to the concerned team and follow up on it until the creation of the product 4. Handle product testing including testing the created product and determining any bugs and challenges before client handover 5. Train the client on the product features created (as needed)Only those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 16th Jan'24 and 20th Feb'243. are available for duration of 3 months4. have relevant skills and interests3Faclon Labs is a Mumbai-headquartered deep-tech IoT company founded by IIT-Bombay alumni. Over the years, we evolved as a one-stop and highly relevant IoT & AI company to drive digital transformation and industry 4.0 among enterprises. Having a focus on deep technologies and continuous innovations, Faclon has become one of the leading companies in the IoT space with an aggressive portfolio of customers in India and overseas."
13,Python Development,Bilateral Solutions Private Limited,Mandi,"₹ 10,000 /month","Selected intern's day-to-day responsibilities include:  1. Writing effective, scalable code 2. Developing back-end components to improve responsiveness and overall performance 3. Integrating user-facing elements into applications  Skills required:  1. A strong understanding of Python and Django 2. Strong knowledge of data structures 3. A working understanding of My SQL 4. Knowledge of Mongo DBOnly those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 16th Jan'24 and 20th Feb'243. are available for duration of 6 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.Job offer: On successful conversion to a permanent employee, the candidate can expect a salary of Rs. 300000 to 400000 /yearPost COVID-19, we have relocated the office to Manali in Himachal, candidate should be comfortable working from Manali, Himachal.4Bilateral Solutions Private Limited can be traced with origins to the beginning of its online portal naukrichoice.com in 2009, and now Passivereferral.com. We are an artificial intelligence-based HR voice bot that manages end-to-end recruitment for the employer. We are a young, passionate, and enthusiastic team bringing innovation to the recruitment industry. We are the first-ever AI-based speech bot that can speak to people over the phone and manage entire end-to-end recruitment automatically."
14,Unity Developer,SR Edu Technologies,Hyderabad,"₹ 10,000-20,000 /month","We are seeking a motivated and talented individual to join our team as a Unity Developer Intern. This internship provides a unique opportunity to gain hands-on experience in game development and interactive experiences using Unity. If you have a passion for creating immersive digital content and want to kick-start your career in Unity development, we invite you to apply.  Selected intern's day-to-day responsibilities include:  1. Unity Development: Collaborate with the development team to assist in the creation of interactive and engaging experiences using Unity3D. 2. Game Design Assistance: Contribute to the design process by providing input on game mechanics, user interactions, and overall user experience. 3. Coding and Scripting: Write and implement clean, maintainable, and efficient code in C# to bring game concepts to life. 4. Bug Fixing and Testing: Assist in identifying and fixing bugs, as well as participating in testing processes to ensure a high-quality end product. 5. Learning and Skill Development: Actively engage in learning opportunities to enhance Unity development skills and stay updated on industry best practices.Only those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 15th Jan'24 and 19th Feb'243. are available for duration of 2 months4. have relevant skills and interestsJob offer: On successful conversion to a permanent employee, the candidate can expect a salary of Rs. 300000 to 400000 /year3WebsiteWe provide technology-driven integrated solutions that enable our clients to monitor and administrate educational institutions through current technologies, keeping parents updated on students' school activities. We ensure there is no miscommunication between parents and educational institutions. The combination of a thorough process, comprehensive experience, and expansive creative vision enables us to create solutions that are innovative, usable, reliable, and beneficial for both parents and educational institutions."
15,Shopify Website Development,Village Company,Greater Noida,"₹ 6,000 /month +  Incentives","Selected intern's day-to-day responsibilities include:  1. Collaborate with our design and development teams to create visually appealing and user-friendly Shopify websites 2. Implement custom themes and templates using HTML & CSS to ensure seamless user experiences 3. Optimize website performance by conducting regular audits and improving loading speeds 4. Troubleshoot and debug any coding issues to maintain website functionality 5. Stay up to date with industry trends and best practices to continuously improve our online presence 6. Assist in the integration of third-party applications and plugins to enhance website functionality 7. Support the team in content management and updating product listings on Shopify platforms  Are you passionate about web development and eager to learn? This internship will provide you with the perfect environment to grow your skills, collaborate with professionals, and make a tangible impact on our e-commerce success. Join us at Village Company and unlock your full potential as a Shopify Website Developer!Only those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 15th Jan'24 and 19th Feb'243. are available for duration of 2 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.Stipend structure: This is a performance-based internship. In addition to the minimum-assured stipend, you will also be paid a performance-linked incentive (1% of revenue generated).2WebsiteBuilding a firm which brings you the best of hand-crafted natural luxuries from Indian villages, consciously sourced closest to the place of origin and then sustainably packed to cater to the lifestyle choices of  India's  top  1%. We are post-revenue and currently serve 500+ families across  the  country."
16,Software Development,Indika AI Private Limited,Delhi,"₹ 8,000-10,000 /month","As a Software Development Intern, you will work closely with our experienced development team to gain hands-on experience in building and maintaining web applications using AngularJS and Django.  Responsibilities:  1. Collaborate with the development team to design, develop, test, and deploy web applications 2. Assist in the maintenance and enhancement of existing software applications 3. Participate in code reviews to ensure code quality and adherence to coding standards 4. Troubleshoot and debug issues reported by users or identified through testing 5. Stay up-to-date with the latest industry trends and technologies to bring fresh ideas to the team  Qualifications:  1. Currently pursuing or completing a degree in Computer Science, Software Engineering, or a related field 2. Strong understanding of web development concepts and technologies. 3. Proficiency in AngularJS for front-end development 4. Familiarity with Django for back-end development 5. Solid understanding of HTML, CSS, and JavaScriptOnly those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 15th Jan'24 and 19th Feb'243. are available for duration of 2 months4. have relevant skills and interests1Indika AI is a global data service company working with some of the advanced artificial intelligence (AI) companies across the world to help them train their AI models with exceptional quality training data. We provide data annotation, search relevance, and content moderation services."
17,Software Development,7 Dots Smart Solutions Private Limited,Hyderabad,"₹ 10,000 /month","Selected intern's day-to-day responsibilities include:  1. Work with the CTO to build features that will help users to be able to achieve their tasks in simple steps 2. Design user-friendly interfaces and implement responsive web designs using frontend frameworks such as Ionic and Angular 3. Maintain the code quality and help improve the standards 4. Collaborate with cross-functional teams to gather and define project requirements 5. Leverage best practices to improve the product performance 6. Quick learner and willing to explore, experiment, and bring new ideas  Qualifications and Educational Requirements:  1. Full-time or Regular Bachelor's degree or equivalent or specific relevant experience including BTECH, BE, MTECH, MCA, and MSC / MS computer science 2. Familiar with modern JavaScript development tools, frameworks, as well as JS runtimes 3. Must be able to write clean, efficient, and optimized code 4. Good interpersonal, and documentation problem-solving skills 5. Strong analytical and process management  Note:  1. You will be working closely with the CTO of the company on a fast-paced project 2. High chances of PPOOnly those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 16th Jan'24 and 20th Feb'243. are available for duration of 6 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.2Instagram pageWe are a team of young and dynamic individuals working in the health and wellness space. We developed a wellness application BeeBloom, which helps individuals in developing a wellness lifestyle."
18,E-Commerce Product Building,VivaVortex Ventures Private Limited,Work From Home,"₹ 3,500 /month","Are you passionate about e-commerce and ready to jumpstart your career in product building? Look no further, because VivaVortex Ventures Private Limited is seeking an enthusiastic and dedicated E-Commerce Product Building intern to join our dynamic team!  Selected intern's day-to-day responsibilities include:  1. Collaborate with the product management team to conceptualize and develop innovative e-commerce products. 2. Conduct market research to identify customer needs and trends, ensuring our products remain competitive and cutting-edge. 3. Assist in creating detailed product specifications, wireframes, and prototypes to guide the development process. 4. Support the product team in testing and analyzing various features and functionalities, ensuring optimal user experience. 5. Work closely with cross-functional teams including design, engineering, and marketing to bring products to market efficiently. 6. Conduct regular competitor analysis to stay updated on industry trends and identify areas for improvement. 7. Stay informed about emerging e-commerce technologies, providing suggestions and insights for improvement.  If you're a proactive problem-solver with a keen eye for detail and a passion for building exceptional e-commerce products, this internship is for you! Join our team at VivaVortex Ventures Private Limited and gain hands-on experience in the exciting world of e-commerce product building. Apply now and embark on an exhilarating journey towards success!Only those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 6 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.35WebsiteWelcome to VivaVortex Ventures, where innovation meets impact! If you're ready to take your business to new heights, you've come to the right place. Our Digital Marketing Agency is your gateway to unparalleled success in the online world. Say goodbye to traditional marketing woes and embrace a future where your brand not only survives but thrives! "
19,Wordpress (PHP Development),Technocrat United,Delhi,"₹ 8,000-15,000 /month","Selected intern's day-to-day responsibilities include:  *PHP - You must have worked on php (we are not hiring only wordpress candidates)*  1. Project development: Create a WordPress-based Learning Management System (LMS) project from the scratch 2. Theme customization: Customize the website theme to align with project requirements 3. Page design: Craft engaging landing pages, course pages, and sales funnels to enhance the user experience 4. E-commerce: Work on complete hands-on e-commerce-based websites with SEO and optimization  Eligibility criteria (read carefully): 1. Experience: Showcase experience in designing only live projects related to E-commerce and Learning Management Systems (LMS) 2. Stipend variation: The stipend offered will be determined based on your skill set and performance 3. Applicants: Only hiring experienced candidates.Only those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 15th Jan'24 and 19th Feb'243. are available for duration of 3 months4. have relevant skills and interestsJob offer: On successful conversion to a permanent employee, the candidate can expect a salary of Rs. 100000 to 400000 /year2YouTube channelTechnocrat United is a YouTube channel tuning the latest reviews, unboxing & technical tips with superfluous information."
20,Internet Of Things (IoT),Purewatt Renewables Private Limited,Gunupur,"₹ 10,000 /month","Selected intern's day-to-day responsibilities include designing IoT-related projects and preparing project reports regularly.Only those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 8th Jan'24 and 12th Feb'243. are available for duration of 6 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.2PureWatt Renewables Private Limited is a forward-thinking company dedicated to advancing sustainable energy solutions and environmental stewardship. With a steadfast commitment to creating a cleaner and greener future, PureWatt specializes in a diverse array of activities focused on renewable power research, energy audits, the design of electrical solar plants, smart grid implementation, and the construction of green buildings."
21,Subject Matter Expert (Project Management),Requin Solutions Private Limited,Jaipur,"₹ 10,000 /month","Selected intern's day-to-day responsibilities include:  1. Work on Agile, Waterfall, Scrum, Kanban, etc. 2. Work on MS Project, Jira, Libre, and Trello boards 3. Work on the documentation part 4. Work on Management projects 5. Work on Academic Projects 6. Generate contentOnly those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 10th Jan'24 and 14th Feb'243. are available for duration of 6 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.5Requin Solutions Private Limited is an IT company that works on technical projects like Java and Node.js development."
22,iOS App Development,STEMpedia,Ahmedabad,"₹ 9,000-15,000 /month","Selected intern's day-to-day responsibilities include:  1. Developing applications for interfacing iOS devices with the company's product range using Bluetooth, WiFi, OTG, etc., and ensuring compatibility with a diverse range of iOS devices 2. Developing and maintaining communication architecture/protocol at the back end for sending, receiving, and interpreting messages over Bluetooth, WiFi, and OTG 3. Working with product developers, application developers, and the business development team to draft and develop different layers of infrastructure & features of the application 4. Designing mock-ups with the graphic design team and developing interactive UIs of the application 5. Making the application cloud-compatible with user login, data publication, tutorials, etc.Only those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 8th Jan'24 and 12th Feb'243. are available for duration of 6 months4. have relevant skills and interests1WebsiteFounded in 2016 by IITK alumni, STEMpedia envisions transforming AI and Robotics, an emerging technology education space in the world, through its real-life application-driven approach to curriculum, unique teacher training program, and international events and competitions. We lead the AI and robotics education market in India with our holistic learning ecosystem for kids aged 7+ years. With our curated packages for schools, educational institutions, and activity centers, we have delivered our AI & Robotics Lab to 400+ schools across 50+ countries."
23,Product Management,FynTune Solution Private Limited,Thane,"₹ 12,000-18,000 /month","Selected intern's day-to-day responsibilities include:  1. Understanding the product offerings and managing new deliverables 2. Working on product planning and its complete roadmap, including UI/UX 3. Collaborating with FynTune's stakeholders, including both the management and their clients who utilize FynTune's technology solutions, such as insurance companies, aggregators, and financial enterprises, to plan projects effectively 4. Working along with the QA team on product logic and product validations 5. Working along with the technology team on product development 6. Working with the project team & supporting them on product deliveries 7. Coordinating with stakeholders (internal & external) for the smooth delivery of the overall project 8. Understanding the requirements of clients on the project front and getting the deliveries from FynTune's technology and product teamOnly those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 9th Jan'24 and 13th Feb'243. are available for duration of 6 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.5WebsiteFynTune Solution Private Limited is a fin-tech startup founded by alumni of IIT, IIM, and veterans from the insurance industry with actuarial science and strategy backgrounds. FynTune Solution has expertise in building technology platforms for insurance companies and insurance intermediaries. Based out of Turbhe (Vashi, Navi Mumbai), FynTune is bringing disruption in the insurance space by making technology easily accessible and affordable to all."
24,Artificial Intelligence (AI),BMV Technologies,Mumbai,"₹ 20,000 /month","Key Responsibilities: 1. Collaborate with the team to understand project requirements and objectives. 2. Collect, clean, and preprocess data for use in machine learning models. 3. Develop and implement machine learning algorithms for AI model creation independently. 4. Conduct experiments, train models, analyze results and iterate on models to improve accuracy and efficiency. 5. Stay abreast of the latest advancements in AI and machine learning technologies. 6. Document code, algorithms, and methodologies used in projects. 7. Conduct research to support ongoing projects and propose innovative solutions.  Qualifications: 1. Currently pursuing a Bachelor's or Master's degree in Computer Science, Data Science, or a related field. 2. Strong understanding of machine learning concepts and algorithms. 3. Hands-on experience with AI model creation and development. 4. Proficient in programming languages such as Python and relevant machine learning frameworks (e.g., TensorFlow, PyTorch). 5. Strong Understanding of Deep Learning Architectures like Transformers, CNNs, RNNs, and GANs 6. Experience with cloud platforms such as AWS or Azure 7. Knowledge of version control systems (e.g., Git). 8. Excellent problem-solving skills and attention to detail. 9. Strong communication and teamwork skills.Only those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 16th Jan'24 and 20th Feb'243. are available for duration of 6 months4. have relevant skills and interests2At BMV Technologies, we're dedicated to reshaping business processes through cutting-edge software development, expert consulting, and innovative AI solutions. Join us and be part of a culture committed to leveraging AI for impactful advancements in new technologies. Your journey to a dynamic career in the future of tech begins here."
25,Web Development,Thirugnana Sambanthem Ravi,Chennai,"₹ 5,000-15,000 /month","Selected intern's day-to-day responsibilities include:  1. Develop web application features from scratch with guidance 2. Develop the product by following the best coding practices (such as efficiency, testability, and maintainability) 3. Build the product with privacy and security in mind from day 1 4. Test the application with various testing tools to ensure the product is efficient, secure, and scalable 5. Understand the product and come up with creative ways to solve the problems using technology  Requirements:  1. Have experience with building a web application from scratch 2. Have some experience with React, Node JS / Express, and Mongo DB or be an exceptional polygot developer who has strong knowledge of other modern web frameworks, and can learn the required frameworks on the go 3. Should be capable of self-learning new technologies on the go whenever needed 4. Good at problem-solving and coding skills in any language as requiredOnly those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 16th Jan'24 and 20th Feb'243. are available for duration of 4 months4.  are from or open to relocate to Chennai and neighboring cities5. have relevant skills and interests1LinkedIn profileI, Thirugnana Sambanthem Ravi, used to work as an estimator at Mason Technologies, NY and was handling NYC-DoITT contracts and other corporate accounts like We Work, Ralph Lauren, and so on. Due to Covid-19, my world turned around and I came back to my home country India.  From India, I started working remotely for Visual System Solutions and Integration, LLC based in Maryland, and lately with Empire Technologies, Inc California. Then I started a small company named ""Travi Associates"", turned my employers into clients, and hired a team for catering to all the overheads required for a small-scale business enterprise specific to data, AV, and security.  Currently, we have four clients, two in Texas, one in Maryland, and one in Tennessee. We do project estimation, engineering, design, purchase, and project management. Technically whatever we can do remotely in regards to low voltage communications."
26,Web Development,Buddha Education Association Incorporation,Nashik,"₹ 20,000 /month","Selected intern's day-to-day responsibilities include:  1.     Create multiple panels for admins, users, and super admin 2.     Manage a team of 10 web development interns 3.     Plan the product roadmap with features and applications 4.     Create a strong backend structure & front end for all the panels combinedOnly those candidates can apply who:1. are available for the part time job/internship2. can start the part time job/internship between 16th Jan'24 and 20th Feb'243. are available for duration of 1 month4. have relevant skills and interests* Women wanting to start/restart their career can also apply.4WebsiteBuddhaNet is the result of a vision to link up with the growing worldwide culture of people committed to Buddha's teachings and lifestyle, as an online cyber sangha. In this way, an ancient tradition and the information superhighway will come together to create an electronic meeting place of shared concern and interests."
27,ERP Functional Consultant,Force-Intellect Private Limited,Bhilai,"₹ 12,000 /month","Selected intern's day-to-day responsibilities include:  1. Preparing FRD and SRS documents 2. Analyzing existing business processes for mapping AS IS - TO BE 3. Configuring ERP modules to meet client needs 4. Providing end-user training and guidance on ERPOnly those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 15th Jan'24 and 19th Feb'243. are available for duration of 6 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.Job offer: On successful conversion to a permanent employee, the candidate can expect a salary of Rs. 200000 to 300000 /year4WebsiteForce Intellect is an ERP product company focused on providing ERP solutions to manufacturing companies. We digitize, streamline, and automate business processes to help manufacturing companies overcome challenges and become more efficient, productive, and agile."
28,Reactjs Development,Across The Globe (ATG),Work From Home,"₹ 2,500-5,000 /month","The selected intern's day-to-day responsibilities include:  1. Building reusable components and front-end tools using React.js 2. Optimizing components for maximum performance across a vast array of web-capable devices and browsers 3. Translating designs and wireframes into code of good quality 4. Developing user-facing features using React.jsOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 16th Jan'24 and 20th Feb'243. are available for duration of 6 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.4Across The Globe (ATG) connects students and professionals around the globe. We are a startup based in Bangalore and aim to help people excel in their career, professional, and personal lives. We have a product that is the need of the hour and worth a billion dollars, which may help millions of people excel in their careers and help those who are struggling to get a better job, direction, and network."
29,Flutter Development,TSAW Drones,Noida,"₹ 6,000 /month","Selected intern's day-to-day responsibilities include:  1. Creating a Flutter-based mobile app for Android & iOS 2. Handling the endpoints connections with the backend 3. Working on database management, and authentication using Google and Facebook 4. Working on complete user experience & smooth workings of the application 5. Creating 100% same UI designs 6. Handling local and server push notificationsOnly those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 16th Jan'24 and 20th Feb'243. are available for duration of 4 months4.  are from or open to relocate to Noida and neighboring cities5. have relevant skills and interests* Women wanting to start/restart their career can also apply.1WebsiteJoin us in building the future of transportation  At TSAW, we are building the future of transportation. We believe that drone technology has the potential to revolutionize the way people and goods move around the world. We are developing innovative hardware and software solutions to make drone transportation safe, efficient, and sustainable. We are looking for talented and passionate individuals to join our team and help us achieve our mission. We offer our employees the opportunity to work on advanced drone technology and to make a real difference in the world."
