Unnamed: 0,job_title,company_name,location,salary,description,company_description,jobs_posted,hired_to_posted_ratio,has_company_logo,job_description_length,Important_Word_Count,important_words,currency_in_title,htp_ratio,no_of_employee,verified
11,"
                                Frontend Tech Lead                            ",GoComet,Bangalore,"₹ 25,00,000 - 30,00,000","Why GoComet? GoComet is a dynamic SaaS start-up that provides AI-powered transportation visibility solutions to revolutionize the trillion-dollar logistics sector. At GoComet, we are revolutionizing the logistics sector one day at a time, and every team member is committed to making it a reality.  As a Frontend Tech Lead at Gocomet, you will play a critical role in shaping the user interface and experience of our products. You will work in a collaborative environment, driving the development of responsive, efficient, and visually appealing web applications. This is an opportunity to leverage your expertise in front-end development and contribute to our mission of creating exceptional user interfaces.  Key responsibilities:  1. Provide technical leadership 2. Enforce coding standards and quality 3. Architect scalable frontend solutions 4. Manage frontend project tasks 5. Mentor and train team members 6. Optimize performance and user experience 7. Stay current with emerging technologies 8. Maintain transparent communication 9. Work closely with program managers and designers to create engineering plans including timeframes, milestones, and quality, reliability, and performance goals  Benefits of the role include:  1. Collaborative and innovative work environment 2. Opportunities for professional growth and development 3. Cutting-edge technology stack and tools 4. Make a significant impact on our products and the user experience 5. Join a team of passionate, creative, and driven individuals 6. 5 days working 7. Flexible working hours 8. Health medical insurance coverage with family, etc.1. Candidates with minimum 3 years of experience.2.  Those who are from or open to relocate to Bangalore4+ years of frontend development experienceProficiency in HTML, CSS, JavaScript/Typescript, React, Redux, NextjsStrong knowledge of modern frontend frameworksLeadership and mentoring capabilitiesProblem-solving and debugging skillsCommitment to continuous learningAnnual CTC: ₹ 25,00,000 - 30,00,000 /year1WebsiteGoComet is the world's best freight quote comparison platform used by enterprises to make freight procurement efficient and fast. As a technology company, we are revolutionizing the $40 billion international logistics space by eliminating inconsistencies in the procurement process at various stages of procurement like RFQs, quote comparisons, human-dependent negotiations, and insufficient disclosure of terms. Our enterprise SaaS product that is currently used by large manufacturing conglomerates combines the power of data science with progressive machine intelligence to drive sharp reverse auctions bringing out the best possible end-to-end rates for shipments.",1,40,0.025,1,1,15,1,1,0,,0
12,"
                                Python Developer                            ",Warewe Consultancy Private Limited,Gurgaon,"₹ 2,00,000 - 5,00,000","Key responsibilities:  1. Creating SaaS products in the Django framework of Python 2. Creating REST APIs in Django REST framework 3. Deploying on a cloud server1. Candidates with minimum 1 years of experience.Looking for someone with experience in projects using SaaSAnnual CTC: ₹ 2,00,000 - 5,00,000 /year1WebsiteWe are a technology company diversified into managing web and mobile app development. More than 50 applications are live and deployed which include e-commerce, web applications, and mobile applications (iOS & Android).",1,186,0.2365591397849462,1,1,9,1,1,1,,1
13,"
                                Software Development Lead                            ",Technical & Transformation Consultant,Jaipur,"₹ 2,50,000 - 4,00,000","Key responsibilities:  1. Lead the web and app development projects 2. Handle in-house projects 3. Do product development 4. Ensure API integrations1. Candidates with minimum 1 years of experience.2.  Those who are from or open to relocate to JaipurGood knowledge of the latest softwareProject management skillsTeam leadership skillsAnnual CTC: ₹ 2,50,000 - 4,00,000 /year1WebsiteOur journey started in 2013, with nothing but a dream and determination. Over the years, we have faced numerous challenges, but each obstacle has only fueled our desire to succeed. Today, we stand proud of our accomplishments, grateful for the support of our Clients, associates and partners, and excited for the future ahead.  What sets us apart at tetranco.com is our relentless pursuit of excellence. From our innovative products/services to our exceptional customer service, we strive to exceed expectations in everything we do.",1,7,0.0,1,1,5,1,1,0,,0
14,"
                                Senior Full Stack Developer                            ",W3Dev,Noida,"₹ 3,00,000 - 5,00,000","Key responsibilities:  1. Working on JS development with Typescript 2. Working on REST APIs & Server side tech on different frameworks 3. Working on SQL and No-SQL database services 4. Working on React JS, Next JS, and Vue JS with Tailwind CSS 5. Following industry coding standards  Who can apply:  1. Ability to work independently with minimal direction providing technical and non-technical support to multiple users 2. Ability to lead Interns in the same field 3. Proficient in technology consulting, training and development 4. Proactiveness - Be proactive in understanding the needs of our customers/clients 5. Relentless learner and a passion to pick up recent technologies 6. A strong motivator with prominent levels of energy 7. Only computer science graduates should apply1. Candidates with minimum 1 years of experience.Annual CTC: ₹ 3,00,000 - 5,00,000 /year1WebsiteW3Dev is a web development startup and a technology company with the aim of solving the problem of India with innovation. Our mission is to empower every person and every organization in India to achieve more.",1,279,0.064516129032258,1,1,10,1,1,0,,0
15,"
                                Full Stack Developer                            ",BDNT Labs Private Limited,Bangalore,"₹ 6,00,000 - 7,00,000","Key responsibilities:  1. Software Design: Collaborate with finance and warehouse team to understand project requirements and translate them into technical specifications and software design documents 2. Coding and Development: Write clean, efficient, and maintainable code using appropriate programming languages and frameworks and develop software solutions that are scalable, secure, and performant 3. Testing and Debugging: Conduct thorough testing of software applications to identify and fix bugs, performance issues, and other defects and ensure software meets quality standards and performs as expected 4. Documentation: Create documentation for software applications, including user manuals, technical specifications, and system diagrams and maintain documentation throughout the software development lifecycle 5. Collaboration: Work closely with cross-functional teams, including all department Heads, Finance, and Warehouse teams, to ensure successful project delivery and participate in team meetings, to understand the requirements of warehouse or inventory software 6. Continuous Improvement: Stay updated on industry trends, best practices, and emerging technologies in software development and continuously improve your skills and knowledge to enhance the quality and efficiency of software development processes 7. Deployment and Maintenance: Assist in deploying software applications to all the departments and provide ongoing support and maintenance as needed 8. Troubleshoot issues, implement updates and ensure system stability and reliability1. Candidates with minimum 3 years of experience.Annual CTC: ₹ 6,00,000 - 7,00,000 /year2WebsiteBDNT LABS is a pioneering technology company based in Adilabad. As trailblazers in the tech industry, we continually push the boundaries to deliver cutting-edge solutions. We're currently seeking a seasoned architect to champion our software development endeavors.",1,140,0.1785714285714285,1,1,7,1,1,0,,1
16,"
                                Firmwaare Engineering - C/C++ Programming                            ",Mangoz Devices Private Limited,Hyderabad,"₹ 3,00,000 - 4,00,000","Part of the product engineering team working on coding, debugging, enhancing, testing, and integrating the firmware on different controllers, interfacing the sensors, and wireless communications protocols using C/C++ for our cutting-edge products.  Work Location: Hyderabad (Technology Research Park, IIT Hyderabad, Kandi)  Key responsibilities:  1. Design, develop, code, test, and debug embedded system firmware using C/C++ programming 2. Circuit and schematic design and interfacing with different communication protocols like I2C, SPI, UART, MODBUS, USB, I2S, POE, and GSM (4G, 5G) 3. Do embedded system testing using an oscilloscope, data logger, waveform validation, etc.1. Candidates with minimum 1 years of experience.The candidate must be proficient in core electronics or computer science engineering subjects and should demonstrate solid coding expertiseShould have a master's or bachelor's degree in electronics or computer science engineering from a good college1-2 years of C/C++ programming for embedded systemsThe candidate should have worked on multiple real-world embedded projects and be proficient in codingAdequate knowledge of reading schematics and data sheets for componentsHandle digital and analog communication and signaling concepts, PWMAnnual CTC: ₹ 3,00,000 - 4,00,000 /year4Mangoz Devices has the vision to make Light Bharat the leader in intelligent switching and control applications, significantly contributing to saving power, water, and other scarce consumable utility resources. Light Bharat has a range of IoT devices for this. Light Bharat is an indigenous IoT to save power and water, and protect the soil. ",1,12,0.25,1,1,5,1,1,1,,1
17,"
                                Embedded Systems Executive                            ",Yali Mobility Private Limited,Chennai,"₹ 2,50,000 - 3,00,000","As an embedded systems executive at Yali Mobility Private Limited, you will have the exciting opportunity to work with cutting-edge technology and play a key role in shaping the future of the mobility industry. We are looking for a talented individual who is proficient in microcontroller, C programming, and embedded systems to join our dynamic team.  Key responsibilities:  1. Develop and maintain embedded software for VCU 2. Collaborate with cross-functional teams to design and implement innovative solutions for our products 3. Conduct code reviews and ensure compliance with coding standards and best practices 4. Troubleshoot and debug embedded systems to optimize performance and ensure reliability 5. Stay updated on the latest trends and advancements in embedded systems technology 6. Drive innovation and contribute to the development of new features and functionalities for our products  Skills required:  1. Strong programming skills in C, embedded C, debugging, troubleshooting of microcontrollers 2. Strong knowledge of communication protocols (CAN, UART, SPI, I2C) 3. Good knowledge of electronic circuits 4. Very good technical documentation skills 5. Very good understanding & working with GIT repository 6. Experienced with various microcontrollers such as STM, NXP, TI, etc. is added advantage 7. Writing programs with MISRA C standards is also an added advantage  If you are passionate about embedded systems, have a strong technical background, and thrive in a fast-paced environment, we would love to hear from you. Join us at Yali Mobility Private Limited and be part of a team that is revolutionizing the future of transportation.1. Candidates with minimum 1 years of experience.Bachelor of Engineering degree in Electronics & Communication or equivalent required.Annual CTC: ₹ 2,50,000 - 3,00,000 /year2Yali Mobility is an IIT Madras-incubated company (in-house created center at IITM) that focuses on delivering affordable solutions for the person with locomotor disabilities. Currently, we are proposing to design, develop, and manufacture electrically powered three-wheelers, specifically for wheelchair users, people with locomotor disabilities, and the elderly.",1,60,0.5333333333333333,1,1,4,1,1,1,,1
18,"
                                Android App Developer                            ",Mangoz Devices Private Limited,Hyderabad,"₹ 2,50,000 - 4,00,000","We seek candidates with a Bachelor's degree in Computer Science Engineering who have a passion for mobile app development and a keen eye for detail with 1-2 years of hands-on coding experience. The ideal candidate should demonstrate proficiency in Java and a solid understanding of Gradle for project management.  Key responsibilities:  1. Design, develop, code, test, debug, and publish to Google Play Store Android mobile applications and interface with backend APIs 2. Migrate the application to a higher version of the Android SDK and ensure compatibility with the latest version of the Android SDK 3. Perform compatibility testing for the latest versions of Android and phones  As an Android developer, you would play a pivotal role in developing and deploying cutting-edge mobile applications. Join our dynamic team to contribute to creating, optimizing, and publishing Android apps that will revolutionize user experiences for the LightBharat suite of Smart Automation products.  Work location: Hyderabad (Technology Research Park, IITH)1. Candidates with minimum 1 years of experience.1. Strong proficiency in Java and Android app development2. Experience with Android Studio and Gradle for project setup and management3. Experience with REST API integration for seamless data exchange4. Proficiency in MongoDB for implementing CRUD operations within the app5. Ability to develop and publish apps on the Google Play Store6. Solid understanding of UI/UX principles for creating engaging user interfacesAnnual CTC: ₹ 2,50,000 - 4,00,000 /year2Mangoz Devices has the vision to make Light Bharat the leader in intelligent switching and control applications, significantly contributing to saving power, water, and other scarce consumable utility resources. Light Bharat has a range of IoT devices for this. Light Bharat is an indigenous IoT to save power and water, and protect the soil. ",1,12,0.25,1,1,22,1,1,1,,1
19,"
                                Python Backend Developer                            ",Digite Infotech Private Limited,Bangalore,"₹ 3,00,000 - 5,00,000","Key responsibilities:  1. Work on a disruptive product that is still in its early stages 2. Design/develop/support new/existing applications, and perform unit and integration testing 3. Work with the team to integrate user-facing elements with server-side logic 4. Troubleshoot and debug applications and cloud services 5. Build reusable code and libraries for future development 6. Gather and address technical & design requirements 7. Collaborate with the team on identifying new features  Skills required:  1. 1-2 years of experience in product development & design 2. Should have critical thinking & problem-solving skills 3. Proficient in writing applications in Python, and working FastAPI framework 4. Experience working with NoSQL databases such as MongoDB 5. Proficient with ORMs and ODMs 6. Proficient with RESTful architectural style 7. Working knowledge & experience in Microservice Architecture 8. Proficient in understanding & working with code versioning tools, such as Git 9. Experience in testing and debugging 10. Comfortable working in a fast-paced environment  Preferred skills:  1. gRPC and Protobuf with Python language 2. Experience working with Docker & Kubernetes 3. Experience working with Microsoft Azure and having in-depth knowledge of implementing Azure Services 4. Good to know about working with AWS1. Candidates with minimum 1 years of experience.Annual CTC: ₹ 3,00,000 - 5,00,000 /year1WebsiteDigite is a leader in the field of AI-driven lean agile products. Our products are used by the best and brightest in the world. From Amazon and Optum to Infosys, CTS, Wipro, and HCL Tech -they all use Digite products for delivering products and services globally. Digite products are used to deliver projects over $30B in value. Digite was founded in 2002 by respected Silicon Valley-based Indo-American entrepreneurs. Today, it boasts a strong and experienced leader with a young and energetic team.  Digite is based in the USA and India. Even though we are a young organization, we are at the leading edge of this fast-emerging market. Our vision, ambition, and dream are to be amongst the top 3 worldwide. Digite follows a lean-agile development approach based on Scrumban. We have a fully integrated DevOps pipeline that enables our CI/CD infrastructure. We continue to implement best-of-breed practices and contribute to the community by sharing our own experiences.",1,177,0.1694915254237288,1,1,17,1,1,0,,1
20,"
                                Senior Full Stack Developer                            ",Velozity Global Solutions,Bangalore,"₹ 6,00,000 - 8,00,000","Key responsibilities:  1. Collaborate with cross-functional teams to understand requirements and develop innovative solutions using React.js, JavaScript, TypeScript, and Node.js 2. Design, develop, and deploy scalable and reliable web applications with a focus on usability, performance, and security 3. Write clean, maintainable, and efficient code using industry best practices and coding standards 4. Develop reusable components and libraries for future use 5. Collaborate with UI/UX designers to translate wireframes and mockups into responsive web interfaces 6. Optimize applications for maximum speed and scalability 7. Implement automated testing and continuous integration to ensure code quality and reliability  Requirements:  1. Bachelor's degree in Computer Science, Engineering, or a related field 2. 5-8 years of professional experience in web development with a focus on React.js, JavaScript, TypeScript, and Node.js 3. Strong proficiency in React.js, including hooks, context API, and component lifecycle 4. Proficient in JavaScript and TypeScript with a good understanding of functional programming concepts 5. Experience with Node.js and building RESTful APIs using Express.js or similar frameworks 6. Solid understanding of web fundamentals such as HTML5, CSS3, and responsive design 7. Experience with version control systems (Git) and collaborative development workflows (GitFlow) 8. Knowledge of testing frameworks (Jest, Enzyme, Mocha) and writing unit and integration tests 9. Excellent problem-solving skills and attention to detail 10. Strong communication and collaboration skills with the ability to work effectively in a team environment1. Candidates with minimum 4 years of experience.Annual CTC: ₹ 6,00,000 - 8,00,000 /year5WebsiteVelozity Global Solutions is not only a globally recognized IT company, it's a family representing togetherness for over two years of a successful journey. For Velozity, the definition of success is to transcend innovative ideas of people to reality with the help of our tech expertise - this is what we as a team want to be remembered for. Our vision has led Velozity to become an emerging IT company in India & the USA for delivering industry-led mobility solutions. The goal is to empower clients and businesses by creating new possibilities leveraging the technologies of today and tomorrow with the utmost quality, satisfaction, and transparency.  Our enthusiasm has led us to become a top IT company in India & the USA for delivering various industry-led mobility solutions in web and mobile application development domains, leveraging futuristic technologies like the Internet of Things (IoT), AI-ML, AR-VR, voice assistants, and voice skills, DevOps & cloud computing, etc.",1,567,0.2416225749559082,1,1,19,1,1,1,,1
21,"
                                IT Support Specialist                            ",BDNT Labs Private Limited,Mumbai,"₹ 3,00,000 - 5,00,000","Key responsibilities include providing on-field support for computer-related problems (computer desktops, laptops, hardware, network, etc.)  Requirements:  1. Minimum 1-2 years of experience required in computer troubleshooting and support 2. Knowledge of Wi-Fi and security would be an added advantage1. Candidates with minimum 1 years of experience.Annual CTC: ₹ 3,00,000 - 5,00,000 /year2WebsiteBDNT LABS is a pioneering technology company based in Adilabad. As trailblazers in the tech industry, we continually push the boundaries to deliver cutting-edge solutions. We're currently seeking a seasoned architect to champion our software development endeavors.",1,140,0.1785714285714285,1,1,2,1,1,0,,1
22,"
                                Quality Analyst - Client Support                            ",Mikky Publication Services Private Limited,Panchkula,"₹ 2,80,000 - 3,00,000","Key responsibilities:  1. Analyze/audit inbound and outbound calls, emails, and customer surveys to identify areas of service delivery that did not meet pre-established performance standards within the CS support or sales teams 2. Provide structured and timely recommendations; verbal and/or written feedback to the advisors 3. Develop, recommend, and monitor corrective and preventive actions 4. Identify training requirements and coaching; prepare daily/weekly reports 5. Develop and conduct briefings for the targeted group of advisors that address service quality deficiencies and/or improvement opportunities 6. Use customer service expertise to assess existing practices and procedures for process improvement opportunities with all CS/sales support teams and sites1. Quality monitoring2. Performance evaluation3. Process improvement4. Compliance and quality standards5. Root cause analysisAnnual CTC: ₹ 2,80,000 - 3,00,000 /year5WebsiteWe are a publishing company based in Gurgaon, India, that was established in 2014. Since then, we have been working tirelessly with many reputed research database , namely, SCOPUS by Elsevier, Web of Science, formerly known as Thomson Reuters, UGC by IGNOU, Google Scholar, PubMed, ABDC, DOAJ, SJR, etc. In addition, we provide the incoming research article with the Crossref & DOI indexing facility, which provides the author's article with a high journal impact factors. We provide article publishing services in journals ranging from open access to closed access, and from free to paid publication. We are pleased to announce that we have already served 10,000+ satisfied customers in 180+ countries and counting. We are extremely proud of the services we provide to our esteemed authors.",1,7,0.0,1,1,1,1,1,0,,0
23,"
                                Embedded Engineer                            ",Picostone,Mumbai,"₹ 4,00,000 - 5,00,000","Key responsibilities:  1. Developing and maintaining embedded software 2. Troubleshooting technical issues and debugging embedded systems 3. Developing device drivers 4. Maintaining existing software applications 5. Ensuring system performance and security 6. Working with product managers and other stakeholders to ensure product functionality and features  Required:  1. At Picostone, we are looking for an experienced and forward-thinking embedded developer to join our dynamic team 2. You should have expertise in C++ programming and Python, and be experienced in developing embedded software 3. You should also be comfortable with debugging and have a good understanding of device drivers and embedded OS 4. Electronics engineering candidates preferredAnnual CTC: ₹ 4,00,000 - 5,00,000 /year1WebsitePicostone is a startup working towards making smart home solutions. We work on innovative and creative technologies and products to make your home smarter and cooler.",1,196,0.1173469387755102,1,1,7,1,1,0,,1
