job_title,company_name,location,salary,description,company_description,hired_to_posted_ratio,has_company_logo,job_description_length,Important_Word_Count,important_words,currency_in_title,authentic,htp_ratio,result
,,,,,0,0,0,0,0,0,1,0,0,0
Web Design (Virtual),YTViews Digital Media Private Limited,Work From Home,"₹ 10,000-15,000 /month","Selected intern's day-to-day responsibilities include:  1. Assist in designing and developing visually appealing and user-friendly websites 2. Collaborate with the team to gather requirements and understand project goals and objectives 3. Help with the creation and implementation of website layouts, navigation, and interactive elements 4. Support the development of responsive and mobile-friendly web designs 5. Assist in coding and programming using HTML, CSS, JavaScript, and other web development languages and frameworks 6. Conduct website testing and troubleshooting to ensure proper functionality across different browsers and devices 7. Assist in the integration of content management systems and e-commerce functionalities 8. Stay up to date with the latest web design trends and best practices 9. Assist in other tasks related to web development and design as assignedOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 20th Jan'24 and 24th Feb'243. are available for duration of 3 months4. have relevant skills and interests10YTViews is the world's no. 1 social media branding & marketing platform where you can promote your YouTube, Instagram, Facebook, Twitter, LinkedIn & all other platforms.",1,0.000365186,1,1,8,1,1,0,0,0
Web Development (Virtual),YTViews Digital Media Private Limited,Work From Home,"₹ 10,000-15,000 /month","Selected intern's day-to-day responsibilities include:  1. Collaborate with our team to design, develop, and maintain web-based projects utilizing PHP and WordPress platforms 2. Create visually appealing and user-friendly websites that align with our organization's goals and objectives 3. Customize themes, templates, and plugins to enhance website functionality and aesthetics 4. Troubleshoot and resolve issues related to website performance, responsiveness, and compatibility 5. Collaborate with content creators to ensure seamless integration of text, images, videos, and other media 6. Implement SEO best practices to optimize website visibility and ranking on search enginesOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 20th Jan'24 and 24th Feb'243. are available for duration of 2 months4. have relevant skills and interests10YTViews is the world's no. 1 social media branding & marketing platform where you can promote your YouTube, Instagram, Facebook, Twitter, LinkedIn & all other platforms.",1,0.000365186,1,1,1,1,1,0,0,0
Web Development,YTViews Digital Media Private Limited,Faridabad,"₹ 5,000-10,000 /month","Selected intern's day-to-day responsibilities include:  1. Collaborate with our team to design, develop, and maintain web-based projects utilizing PHP and WordPress platforms 2. Create visually appealing and user-friendly websites that align with our organization's goals and objectives 3. Customize themes, templates, and plugins to enhance website functionality and aesthetics 4. Troubleshoot and resolve issues related to website performance, responsiveness, and compatibility 5. Collaborate with content creators to ensure seamless integration of text, images, videos, and other media 6. Implement SEO best practices to optimize website visibility and ranking on search enginesOnly those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 20th Jan'24 and 24th Feb'243. are available for duration of 3 months4. have relevant skills and interests10YTViews is the world's no. 1 social media branding & marketing platform where you can promote your YouTube, Instagram, Facebook, Twitter, LinkedIn & all other platforms.",1,0.000365186,1,1,1,1,1,0,0,0
Blockchain Development,Qriocity Ventures Private Limited,Work From Home,"₹ 10,000-15,000 /month","Selected intern's day-to-day responsibilities include:  1. Collaborating with the development team to design and develop decentralized applications (dApps) on various blockchain platforms 2. Conducting research and staying up-to-date with the latest advancements in blockchain technology, smart contracts, and distributed ledger systems 3. Assisting in the implementation and optimization of blockchain protocols and consensus mechanisms 4. Writing clean, efficient, and secure code for blockchain-based systems, ensuring the highest level of quality and reliability 5. Participating in code reviews, debugging, and troubleshooting to identify and resolve any issues or vulnerabilities 6. Supporting the team in the deployment and maintenance of blockchain networks, nodes, and infrastructure 7. Contributing to the documentation and creation of technical specifications, ensuring clear and concise communication across the organization  Join our dynamic and forward-thinking team, where your creativity and innovation in blockchain development will be appreciated and rewarded. Don't miss this opportunity to gain hands-on experience and make a real impact in the world of blockchain technology. Apply now and embark on an exciting journey with Qriocity Ventures Private Limited!Only those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 19th Jan'24 and 23rd Feb'243. are available for duration of 3 months4. have relevant skills and interests2Qriocity Ventures Private Limited is a cutting-edge edtech company dedicated to elevating students' academic and professional pursuits. With a core focus on projects, courses, and training, Qriocity offers a comprehensive platform where students can access a vast library of project templates, step-by-step guides, and interactive learning modules. Each resource is crafted by industry experts and educators to ensure content relevance and pedagogical effectiveness. For students seeking hands-on training, Qriocity's immersive workshops and virtual labs provide real-world applications, bridging the gap between theory and practice. The company's adaptive learning algorithms personalize the user experience, making it tailor-fit for every learner's unique needs.",1,0,1,1,4,1,1,0,0,1
Web Development,Avaari,Munnar,"₹ 20,000 /month","Selected intern's day-to-day responsibilities include:  1. Collaborating with the development team to create and maintain captivating websites and web applications 2. Assisting in the implementation of responsive web designs using HTML, CSS, and Bootstrap to ensure optimal user experience across various devices 3. Writing clean, efficient, and well-documented code in JavaScript and jQuery to enhance website interactivity and functionality 4. Utilizing PHP and MySQL to develop dynamic web pages and database-driven applications 5. Exploring and implementing modern front-end frameworks like ReactJS to develop cutting-edge web solutions 6. Assisting in the customization and management of WordPress websites, including theme development and plugin integration 7. Assisting in the deployment and maintenance of web applications using Node.js, ensuring seamless performance and scalabilityOnly those candidates can apply who:1. are available for the part time job/internship2. can start the part time job/internship between 19th Jan'24 and 23rd Feb'243. are available for duration of 1 month4. have relevant skills and interestsNote:  1. At Avaari, you will gain hands-on experience in a fast-paced and innovative environment, working alongside experienced professionals. 2. We value creativity, problem-solving, and the ability to work independently. 3. Join us now and take your web development skills to new heights.8We are a community platform for women to get jobs, gigs, and freelancing opportunities all across the country. This is with an intent to bring women to the workforce and make them potential earning members of their family.",1,0,1,1,13,1,1,0,0,0
Artificial Intelligence (AI),Avaari,Guwahati,"₹ 25,000 /month","Selected intern's day-to-day responsibilities include:  1. Collaborate with our team of AI experts to develop innovative algorithms and models using machine-learning techniques 2. Gain hands-on experience in data preprocessing, feature engineering, and exploratory data analysis to ensure high-quality datasets 3. Assist in building and optimizing AI models for object detection, classification, and natural language processing 4. Implement and evaluate state-of-the-art deep learning architectures for computer vision and speech recognition applications 5. Work closely with our engineering team to integrate AI capabilities into our existing products and enhance user experiences 6. Analyze and interpret large-scale datasets to extract valuable insights and drive data-driven decision-making 7. Stay up-to-date with the latest advancements in AI and contribute to research discussions and technical brainstorming sessions  Note: Join our dynamic team and contribute to the development of groundbreaking AI solutions that will shape the future of virtual reality.Only those candidates can apply who:1. are available for the part time job/internship2. can start the part time job/internship between 19th Jan'24 and 23rd Feb'243. are available for duration of 1 month4. have relevant skills and interests5We are a community platform for women to get jobs, gigs, and freelancing opportunities all across the country. This is with an intent to bring women to the workforce and make them potential earning members of their family.",1,0,1,1,2,1,1,0,0,0
Mobile App Development,Avaari,Mumbai,"₹ 25,000 /month","Selected intern's day-to-day responsibilities include:  1. Collaborate with the development team to design and implement mobile applications using Android, Java, Firebase, REST API, Kotlin, Node.js, and ReactJS 2. Develop and maintain clean, efficient, and reusable code 3. Participate in code reviews and provide constructive feedback to ensure high-quality standards 4. Troubleshoot and resolve software defects and issues in a timely manner 5. Stay up-to-date with the latest industry trends and technologies to continuously enhance your skills and knowledge 6. Collaborate with cross-functional teams to understand project requirements and deliver within deadlines 7. Assist in testing and debugging of applications to ensure optimal performance and user experienceOnly those candidates can apply who:1. are available for the part time job/internship2. can start the part time job/internship between 19th Jan'24 and 23rd Feb'243. are available for duration of 1 month4. have relevant skills and interestsNote:  1. Join us at Avaari and seize this opportunity to gain valuable experience in mobile app development while working on exciting projects. 2. Apply now and take your skills to the next level.5We are a community platform for women to get jobs, gigs, and freelancing opportunities all across the country. This is with an intent to bring women to the workforce and make them potential earning members of their family.",1,0,1,1,6,1,1,0,0,0
Machine Learning,Avaari,Kochi,"₹ 25,000 /month","Selected intern's day-to-day responsibilities include:  1. Work closely with our experienced team to develop and implement cutting-edge machine-learning algorithms 2. Utilize your expertise in Python, R programming, and deep learning to build and optimize models for various AI applications 3. Dive into the world of data science and analytics to explore large datasets and derive meaningful insights 4. Collaborate with cross-functional teams to design and develop AI solutions that cater to our client's specific needs 5. Enhance your skills in natural language processing (NLP) and artificial intelligence by working on projects related to text and speech analytics 6. Conduct thorough research and stay up-to-date with the latest advancements in the field of machine learning and AI 7. Assist in the deployment and testing of machine learning models in real-world scenarios, and contribute to Avaari's goal of revolutionizing industries through AIOnly those candidates can apply who:1. are available for the part time job/internship2. can start the part time job/internship between 19th Jan'24 and 23rd Feb'243. are available for duration of 2 months4. have relevant skills and interestsNote:  1. If you are a proactive and motivated individual with a strong foundation in machine learning and a desire to make a significant impact, this internship is the perfect opportunity for you. 2. Join us at Avaari and be part of our mission to reshape the future using the power of AI, apply now, and unleash your potential.7We are a community platform for women to get jobs, gigs, and freelancing opportunities all across the country. This is with an intent to bring women to the workforce and make them potential earning members of their family.",1,0,1,1,4,1,1,0,0,0
Product Management,"Avaari (Pune, India)",Mumbai,"₹ 25,000 /month","Selected intern's day-to-day responsibilities include:  1. Collaborate with cross-functional teams to define product requirements and specifications 2. Assist in developing and implementing product strategies to enhance customer satisfaction and drive revenue growth 3. Conduct market research and competitive analysis to identify market trends and opportunities 4. Support the product development process by managing product documentation and ensuring accuracy and completeness 5. Assist in creating and delivering product training materials to internal teams and external stakeholders 6. Contribute to product launch activities, including coordinating marketing campaigns and conducting product demonstrations 7. Monitor and analyze product performance metrics, providing insights and recommendations for continuous improvementOnly those candidates can apply who:1. are available for the part time job/internship2. can start the part time job/internship between 19th Jan'24 and 23rd Feb'243. are available for duration of 1 month4. have relevant skills and interests2We are a community platform for women to get jobs, gigs, and freelancing opportunities all across the country. This is with an intent to bring women to the workforce and make them potential earning members of their family.",1,0,1,1,1,1,1,0,0,0
Python Development,Prosperise Fortune LLP,Work From Home,"₹ 5,000 /month","Selected intern's day-to-day responsibilities include:  1. Contribute to the development and maintenance of backend systems using Python 2. Collaborate with the team to implement scalable and efficient server-side logic 3. Develop Python scripts to automate repetitive tasks and streamline workflows 4. Work on scripting solutions to enhance efficiency in various processes 5. Design and implement APIs using Python frameworks such as Flask or Django 6. Ensure the seamless integration of APIs with existing systems 7. Work with data processing libraries to manipulate and analyze data efficiently 8. Collaborate with data scientists on data-related tasks 9. Write unit tests to ensure the reliability and robustness of Python code 10. Debug and troubleshoot issues to maintain high-quality software 11. Engage in collaborative discussions with team members on project requirements 12. Participate in code reviews to enhance coding standardsOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 19th Jan'24 and 23rd Feb'243. are available for duration of 3 months4. have relevant skills and interestsCurrently pursuing a degree in Computer Science, Software Engineering, or a related fieldStrong proficiency in Python programmingFamiliarity with backend development principles and frameworks (Flask, Django, etc.)Basic understanding of data structures, algorithms, and software designExcellent problem-solving and analytical skillsEagerness to learn and adapt to new technologies1Prosperise Fortune LLP is a dynamic and rapidly expanding startup dedicated to transforming the way individuals manage and grow their wealth. As a leading financial management firm, we specialize in providing comprehensive solutions that empower people to achieve their financial goals and secure a prosperous future.  At Prosperise Fortune LLP, we understand that each individual's financial journey is unique. Our mission is to simplify the complexities of financial management, offering tailored strategies that align with the diverse needs and aspirations of our clients.",1,0.214285714,1,1,10,1,1,1,1,1
Blockchain Development,Avaari,Andhra Pradesh,"₹ 20,000 /month","Selected intern's day-to-day responsibilities include:  1. Collaborate with our development team to design and implement blockchain solutions using various technologies 2. Assist in the development, testing, and deployment of smart contracts on Ethereum and Hyperledger platforms 3. Contribute to the creation of decentralized applications (DApps) using JavaScript, Node.js, and ReactJS 4. Participate in code reviews and provide constructive feedback to enhance the overall quality of our blockchain applications 5. Research and stay up-to-date with the latest advancements in blockchain technology to ensure our solutions remain innovative 6. Troubleshoot and resolve any issues or bugs within the blockchain applications, ensuring their smooth operation 7. Document the development process including architecture, technical specifications, and user guides, to facilitate knowledge sharing within the teamOnly those candidates can apply who:1. are available for the part time job/internship2. can start the part time job/internship between 19th Jan'24 and 23rd Feb'243. are available for duration of 2 months4. have relevant skills and interests5We are a community platform for women to get jobs, gigs, and freelancing opportunities all across the country. This is with an intent to bring women to the workforce and make them potential earning members of their family.",1,0,1,1,3,1,1,0,0,0
Web Development (Frontend),Across The Globe (ATG),Work From Home,"₹ 2,500-7,500 /month","Selected intern's day-to-day responsibilities include:  1. Develop, enhance, test, and maintain web applications by working on HTML, CSS & JavaScript 2. Work with the team to debug and troubleshoot issues 3. Collaborate with the development team to ensure web applications meet standards 4. Suggest new features and approaches to improve web applications 5. Stay up-to-date on web development trends and technologiesOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 19th Jan'24 and 23rd Feb'243. are available for duration of 6 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.4Across The Globe (ATG) connects students and professionals around the globe. We are a startup based in Bangalore and aim to help people excel in their career, professional, and personal lives. We have a product that is the need of the hour and worth a billion dollars, which may help millions of people excel in their careers and help those who are struggling to get a better job, direction, and network.",1,0.239043825,1,1,8,1,1,1,1,1
Web Development,IOTRON Technologies Private Limited,Work From Home,"₹ 3,000-5,000 /month","Selected intern's day-to-day responsibilities include:  1. Working with PHP/Laravel/Django and MySQL to design, develop and debug web applications 2. Integrating back-end services with Vue.js/React.js/JavaScript-based front-end needs 3. Working with the team to manage, optimize and customize multiple web applications 4. Creating and maintaining technical documentationOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 20th Jan'24 and 24th Feb'243. are available for duration of 1 month4. have relevant skills and interests4IOTRON Technologies is a product and service-based company working on IT development, software development and automation. It is based in Kolkata, West Bengal.  ",1,1.076923076,1,1,4,1,1,1,1,1
Flutter Development,Stoild Private Limited,Work From Home,"₹ 8,000-12,000 /month","Selected intern's day-to-day responsibilities include:  1. Develop and maintain robust Node.js APIs and microservices to power the backend functionality. 2. Create and optimize performant UIs and responsive layouts for Flutter mobile applications. 3. Integrate back-end APIs with the Flutter app, ensuring seamless data flow and user experience. 4. Implement feature-rich functionalities on both client and server sides, understanding the impact on both. 5. Write clean, maintainable, and well-documented code adhering to best practices in both Node.js and Flutter. 6. Conduct unit and integration testing for both front- and back-end components for enhanced stability. 7. Collaborate effectively with designers and other developers to achieve a consistent and cohesive product. 8. Stay up-to-date with the latest advancements in Node.js and Flutter technologies and embrace innovation. 9. Proactively identify and troubleshoot technical issues across the full stack, proposing solutions promptly. 10. Contribute to a positive and collaborative development environment, sharing knowledge and ownership.Only those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 20th Jan'24 and 24th Feb'243. are available for duration of 6 months4. have relevant skills and interests1Instagram pageWe at Stoild want to make gaming available for everyone. We pour our hearts and souls into everything we create and hence continue creating epic experiences for all our players out there. It doesn't matter who you are, or where you are located, if you're a member of our evolving and vibrant community, you're welcome here.",1,0.277777778,1,1,9,1,1,1,1,1
PHP Development,Diginspire Solution Private Limited,Work From Home,"₹ 3,000 /month","As a PHP Development intern at Diginspire Solution Private Limited, you will have the opportunity to work on exciting projects and gain hands-on experience in the world of web development. We are looking for a talented individual who is proficient in PHP, Laravel, CodeIgniter, and MySQL.  Key Responsibilities: 1. Collaborate with the development team to create and maintain web applications using PHP frameworks. 2. Assist in the design and implementation of database structures and queries for efficient data storage and retrieval. 3. Debug and troubleshoot code issues, ensuring optimal performance and user experience. 4. Conduct thorough testing and quality assurance to identify and resolve any bugs or errors. 5. Stay updated with the latest industry trends and best practices to enhance technical skills and contribute to innovative solutions. 6. Participate in team meetings and discussions to contribute ideas and insights for project improvements. 7. Follow established coding standards and guidelines to ensure consistency and maintainable codebase.  Join our dynamic team and propel your career in PHP development. Apply now to embark on an exciting journey of growth and learning with Diginspire Solution Private Limited!Only those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 19th Jan'24 and 23rd Feb'243. are available for duration of 3 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.10Diginspire Solutions Private Limited is a customer-focused IT company that specializes in providing software solutions to businesses worldwide. Their services range from custom software development, web application development, mobile application development, and e-commerce solutions. The team of experts at Diginspire Solutions is well-equipped with the latest technologies and tools to ensure clients receive the best possible solutions to their business problems. With a focus on building long-term relationships, Diginspire Solutions offers customized solutions that cater to their specific needs. The company has a proven track record of delivering high-quality software solutions that not only meet but exceed the client's expectations.",1,0,1,1,9,1,1,0,0,1
Web Development,Epsilon International,Thane,"₹ 15,000 /month","Selected intern's day-to-day responsibilities include:  1. Handling extensive software development work on platforms such as ASP. Net, C#, MS SQL Server, Cloud technologies (Azure), Data-Cataloguing Tool, etc. 2. Troubleshooting, identifying root causes for the problems, and taking corrective and preventive steps on our proprietary software products (https://abidus.com/ and https://www.kenspan.com/) 3. Providing training to the customer on our above software and solutions 4. Contributing towards continued research and development work of our very innovative live SaaS-based solutions presently on offer to both domestic and global clients 5. Working with the team to manage, optimize and customize our web applications 6. Providing product demonstration to customers 7. Creating and maintaining technical documentationOnly those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 19th Jan'24 and 23rd Feb'243. are available for duration of 6 months4.  are from or open to relocate to Thane, Mumbai, Navi Mumbai and neighboring cities5. have relevant skills and interests* Women wanting to start/restart their career can also apply.3WebsiteEpsilon International is headquartered in Mumbai, India, and is focused on providing leading-edge software services and solutions for the BFSI sector. The company has in its team professionals drawn from a pool of achievers including successful entrepreneurs, ex-delivery heads of leading technology MNCs, retired senior and highly accomplished bankers, and many other successful professionals and technocrats. The company boasts of a very diverse list of clients including leading public sector banks in India, global pharmaceuticals major global advisory services companies, the apex body in the insurance sector, and others.  Epsilon's flagship software solution addresses the complete cycle of risk-based auditing and inspection in banks. It is one of the leading solutions in its segment in India and is well recognized across the banking industry. Epsilon is deeply entrenched in providing cutting edge web-technologies and cloud-based solutions to our large enterprise clients.",1,0,1,1,5,1,1,0,0,1
Python Django Development,Across The Globe (ATG),Work From Home,"₹ 8,000-10,000 /month","Selected intern's day-to-day responsibilities include:  1. Developing a web portal using Python/Django 2. Operating CRUD operations effectively 3. Developing an engaging front-end 4. Working with the testing team on bug resolution 5. Working on Git effectivelyOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 19th Jan'24 and 23rd Feb'243. are available for duration of 6 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.4Across The Globe (ATG) connects students and professionals around the globe. We are a startup based in Bangalore and aim to help people excel in their career, professional, and personal lives. We have a product that is the need of the hour and worth a billion dollars, which may help millions of people excel in their careers and help those who are struggling to get a better job, direction, and network.",1,0.239043825,1,1,3,1,1,1,1,1
